initials;full-name;action-object;description
L;Lachesis;;Hercules
L;Lady;;Lady and the Tramp
LD;Lady DeBurne;;The Hunchback of Notre Dame II
LK;Lady Kluck;;Robin Hood
LM;Lady Mouse;;The Great Mouse Detective
LT;Lady Tremaine;;Cinderella
LB;Lafayette the Basset Hound;;The Aristocats
L;Lampwick;;Pinocchio
LD;Larry the Duck;;Home on the Range
LM;Launchpad McQuack;;DuckTales
L;Laverne;;The Hunchback of Notre Dame
LV;Lawrence the Valet;;The Princess and the Frog
LF;Le Fou;;Beauty and the Beast
L;Lefty;;Meet the Robinsons
LP;Le Plufme;;Belle's Magical World
L;Lewis;;Meet the Robinsons
LS;Li Shang;;Mulan
LW;Lil Bad Wolf;;The Porker's Court
LP;Lilo Pelekai;;Lilo & Stitch
L;Ling;;Mulan
TL;The Liquidator;;Darkwing Duck
LJ;Little John;;Robin Hood
LT;Little Toot;;Melody Time
M;;Mr. Litwak;;Wreck-It Ralph
L;Lizzy;;Meet the Robinsons
LG;Lizzy Griffths;;Tinker Bell and the Great Fairy Rescue
L;Louie;;Donald's Nephews
L;Louie the Hot Dog Man;;Oliver & Company
LA;Louis the Alligator;;The Princess and the Frog
LC;Lucifer the Cat;;Cinderella
LK;Lucille Krunklehorn;;Meet the Robinsons
L;Lucky;;One Hundred and One Dalmatians
LJ;Lucky Jack;;Home on the Range
LD;Ludwig Von Drake;;An Adventure In Color
L;Luke;;The Rescuers
L;Lumière;;Beauty and the Beast
LH;Lumpy the Heffalump;;Pooh's Heffalump Movie
L;Lyle;;The Fox and the Hound 2
MB;Ma Beagle;;DuckTales
MH;Mad Hatter;;Alice in Wonderland
AB;Madame Adelaide Bonfamille;;The Aristocats
MM;Madame Medusa;;The Rescuers
MM;Madam Mim;;The Sword in the Stone
MU;Madame Upanova;;Fantasia
M;Madellaine;;The Hunchback of Notre Dame II
M;Maggie;;Home on the Range
MC;Magic Carpet;;Aladdin
MM;The Magic Mirror;;Snow White and the Seven Dwarfs
MS;Magica De Spell;;DuckTales
MB;Mahra the Baboon;;Jungle Cubs
MM;Maid Marian;;Robin Hood
MH;Major the Horse;;Cinderella
M;Maleficent;;Sleeping Beauty
M;Malina;;The Emperor's New School
